iter,workload,rt
967,780,391.42
968,660,395.32
969,920,398.53
970,620,401
971,730,396.7
972,830,400.6
973,810,372.58
974,750,416.84
975,580,401.11
976,720,392.48
977,880,413.5
978,680,414.24
979,720,412.88
980,690,394.26
981,920,394.3
982,790,408.46
983,570,395.41
984,890,421.19
985,800,401.15
986,530,424.91
987,510,423.75
988,920,387.68
989,930,385.74
990,800,422.89
991,650,340.91
992,690,363.17
993,900,413.48
994,660,388.77
995,840,406.3
996,840,359.5
997,650,383.59
998,720,411.35
999,800,393.21
1000,790,402.08
1001,500,422.88
1002,940,405.09
1003,920,401.83
1004,740,380.54
1005,580,366.4
1006,710,378.35
1007,880,410.78
1008,870,420.47
1009,700,376.68
1010,840,362.01
1011,700,388.92
1012,550,374.06
1013,1070,426.97
1014,650,376.43
1015,800,415.89
1016,620,372.05
1017,680,403.67
1018,910,409.32
1019,860,401.33
1020,460,405.86
1021,920,370.3
1022,640,399.91
1023,850,410.24
1024,730,431.88
1025,610,373.36
1026,720,402.58
1027,880,392.28
1028,930,406.77
1029,650,391.64
1030,770,350.44
1031,740,378.46
1032,730,407.08
1033,830,410.93
1034,710,376.7
1035,730,384.22
1036,860,415.13
1037,690,388.91
1038,760,406
1039,780,388.54
1040,700,408.33
1041,850,389.81
1042,860,375.57
1043,900,381
1044,470,400.92
1045,680,381.65
1046,940,397.5
1047,710,408.19
1048,710,414.43
1049,800,382.33
1050,830,413.39
1051,630,348.85
1052,800,422.43
1053,710,382
1054,790,408.68
1055,810,392.41
1056,740,404.92
1057,660,387.22
1058,770,396.32
1059,780,403
1060,840,403.54
1061,700,388.95
1062,700,382.33
1063,1000,410.91
1064,420,394.62
1065,840,391.75
1066,750,380.33
1067,1030,417.37
1068,610,341.62
1069,710,385.5
1070,830,405.15
1071,810,384.04
1072,670,414.23
1073,650,397.67
1074,730,410.67
1075,870,424.75
1076,650,383.96
1077,670,408.25
1078,890,402.65
1079,810,377.65
1080,720,401.64
1081,760,407
1082,640,377.1
1083,690,407.6
1084,1030,401.18
1085,590,412.89
1086,800,392.88
1087,720,377.5
1088,900,401.32
1089,730,368.61
1090,780,381.82
1091,770,398.08
1092,750,380.26
1093,710,376.77
1094,730,434.24
1095,750,397.96
1096,730,415.46
1097,620,443.42
1098,900,364.69
1099,950,408.56
1100,650,382.62
1101,810,361.59
1102,620,376.73
1103,920,386.68
1104,730,405.88
1105,800,387.37
1106,650,383.41
1107,730,397.77
1108,990,401.97
1109,560,374.15
1110,830,393.28
1111,820,374.43
1112,780,400.66
1113,780,404.88
1114,760,369.71
1115,860,381.6
1116,760,393.84
1117,690,386.25
1118,760,370.28
1119,680,401.95
1120,840,397.93
1121,750,426.09
1122,820,367.82
1123,850,380.37
1124,670,360.91
1125,790,409.52
1126,740,379.96
1127,890,383.67
1128,750,389.48
1129,840,378.5
1130,650,370.55
1131,760,383.92
1132,870,379.45
1133,750,406.21
1134,670,390.09
1135,910,405.43
1136,730,369.17
1137,650,388.91
1138,730,397.74
1139,820,411.26
1140,740,396.96
1141,810,394.36
1142,760,417.35
1143,880,368.76
1144,730,400.62
1145,700,353.39
1146,870,393.54
1147,830,372.93
1148,630,379.35
1149,680,403.09
1150,940,382.59
1151,690,425.95
1152,690,403.72
1153,630,397.65
1154,1030,403.39
1155,810,385.52
1156,720,385.43
1157,620,395.1
1158,950,371.97
1159,700,396.91
1160,940,357.62
1161,650,384.32
1162,760,385
1163,790,389.42
1164,790,388.74
1165,710,404.61
1166,650,380.71
1167,740,410.6
1168,960,387.74
1169,820,397.34
1170,610,398.17
1171,890,373.44
1172,560,380.53
1173,970,403.94
1174,760,396.96
1175,640,386.04
1176,870,399.55
1177,800,369.24
1178,750,392.67
1179,690,394.72
1180,870,388.82
1181,820,379.5
1182,580,411.22
1183,830,401.46
1184,680,384.33
1185,710,415.61
1186,840,410.23
1187,820,391
1188,660,399.33
1189,760,390.42
1190,760,393.72
1191,880,393.03
1192,720,399.38
1193,760,376.83
1194,800,384.93
1195,780,366.52
1196,760,400.89
1197,610,377.83
1198,900,384.63
1199,1000,381.53
1200,530,416
1201,850,377.27
1202,690,379.83
1203,890,409.72
1204,790,413.42
1205,660,377.29
1206,730,400.82
1207,730,394.95
1208,960,408.88
1209,690,406.83
1210,1060,361.15
1211,700,385.12
1212,690,384.23
1213,750,417.54
1214,760,395.68
1215,1050,415.58
1216,820,395.37
1217,760,351.48
1218,820,357.92
1219,630,420.3
1220,950,412.69
1221,1040,389.82
1222,540,380.62
1223,810,417.88
1224,860,370.71
1225,900,407.04
1226,1010,416.71
1227,630,358
1228,1120,373.22
1229,800,372.39
1230,650,370.59
1231,870,384.77
1232,1040,399.38
1233,900,421.24
1234,750,378.19
1235,710,401.39
1236,1030,390.35
1237,820,407.33
1238,900,383.27
1239,750,397.31
1240,690,393.36
1241,1210,397.58
1242,920,403.68
1243,670,410.57
1244,800,369.88
1245,1080,381.28
1246,850,419.39
1247,590,416.25
1248,1180,406.03
1249,1050,394.83
1250,480,395.31
1251,1140,398.5
1252,890,375.64
1253,910,397.97
1254,830,383.03
1255,760,378.29
1256,880,413.93
1257,920,425.63
1258,930,433
1259,950,409.7
1260,620,364.82
1261,1120,408.22
1262,930,402.13
1263,960,424.3
1264,730,373.22
1265,1090,411
1266,750,399.35
1267,1100,414.7
1268,780,385.08
1269,1080,390.86
1270,770,423.88
1271,1000,388.38
1272,890,400.78
1273,980,413.79
1274,1200,386
1275,890,401.07
1276,810,384.82
1277,900,377.79
1278,1110,394.74
1279,950,410.28
1280,940,386
1281,1060,417.61
1282,940,358.56
1283,800,436.46
1284,1120,396.59
1285,880,402.11
1286,1130,405.87
1287,860,401.54
1288,1020,389.94
1289,1060,396.78
1290,790,399.28
1291,1070,390.6
1292,1220,407.63
1293,870,392.64
1294,880,389.93
1295,940,378
1296,1160,415.8
1297,890,416.31
1298,1220,410.03
1299,830,388.36
1300,1060,378.89
1301,1060,390.43
1302,980,401.18
1303,930,399.11
1304,1120,391
1305,1100,409.87
1306,890,391.13
1307,1240,375.51
1308,1150,391.75
1309,1060,378.14
1310,710,385.62
1311,1100,390.92
1312,1080,428.03
1313,1050,405.22
1314,1030,429.18
1315,1080,392.22
1316,1100,386.86
1317,1040,397.37
1318,1070,390.33
1319,980,394.94
1320,1130,389.38
1321,1160,409.84
1322,1120,378.95
1323,920,392.13
1324,1020,389.21
1325,980,402.53
1326,1300,418.49
1327,970,416.67
1328,1050,379.83
1329,1050,402.85
1330,980,394.82
1331,1190,401.26
1332,1130,407.7
1333,1230,397.05
1334,960,370.3
1335,1240,396.22
1336,980,382
1337,1030,405.08
1338,1210,415.59
1339,1300,388.36
1340,1060,382.37
1341,1140,387.63
1342,1070,370.42
1343,1280,397.83
1344,1000,402.55
1345,1000,400.64
1346,1510,405.54
1347,1100,362.46
1348,930,404.52
1349,1330,357.18
1350,1200,385.9
1351,1200,415.24
1352,1020,373.66
1353,1160,386.45
1354,1230,393.15
1355,990,402.9
1356,1120,419.56
1357,1370,397.18
1358,870,398.97
1359,1340,410.8
1360,1340,391.38
1361,1090,393.53
1362,950,394.87
1363,1170,409.86
1364,1240,395.22
1365,1490,401.98
1366,1030,384.03
1367,1150,381.13
1368,1180,383.34
1369,1120,396.61
1370,1210,411
1371,900,431.5
1372,1670,405.83
1373,1220,393.9
1374,690,396.58
1375,1370,400.64
1376,1110,391.18
1377,1310,434.15
1378,1330,410.52
1379,920,396.42
1380,1320,400.82
1381,1130,389.62
1382,1410,410.91
1383,940,405.52
1384,1280,385.1
1385,1360,384.83
1386,1180,427.22
1387,980,391
1388,1240,408.73
1389,1270,399.69
1390,1000,428.3
1391,1590,407.46
1392,1390,372.91
1393,1120,400.56
1394,1100,403.94
1395,1450,398.68
1396,1390,386.65
1397,970,385.72
1398,1420,391.38
1399,1200,391.79
1400,1270,402.82
1401,1580,400.37
1402,1020,371.97
1403,1440,386.47
1404,1320,379.05
1405,1130,415.67
1406,1090,399.4
1407,1660,383.54
1408,1370,386.6
1409,1050,414.77
1410,1410,374.81
1411,1210,394.74
1412,1330,413.85
1413,1600,397.68
1414,1250,357.32
1415,1230,383.41
1416,1190,378.79
1417,1240,392.45
1418,1500,410.45
1419,1360,409.5
1420,1000,388.68
1421,1350,410.55
1422,1500,428.8
1423,1150,409.41
1424,1350,409.64
1425,1210,383.72
1426,1560,394.87
1427,1230,375.86
1428,1450,395.37
1429,1180,390.13
1430,1440,411.21
1431,1400,388.03
1432,1290,393.41
1433,1230,392.86
1434,1420,400.83
1435,1460,388.6
1436,1340,395.42
1437,1400,407.98
1438,1370,377.67
1439,1280,387.88
1440,1470,412.38
1441,1150,394.97
1442,1410,400
1443,1610,414.33
1444,1280,389.93
1445,1180,410.87
1446,1230,409.69
